"CPW_LOT","DEVICE","FACILITY","TOP","IOP","VPPK","VXOVR","VEA","WAVELENGTH","LFIBER","EXT_RATIO","DISP_PENALTY","MASK_MARGIN","SMSR","RISE_TIME","FALL_TIME","OVERSHOOT","JITTER","CROSSING","ISS","RTH","IPD","IPHOTO","DEVICE_FM","TEST_RUNS","STATE","PRODUCT","FIRST_FAIL_MODE","TEST_DT","PKG_CODE"
"875619","152409540","PKGF10GB6","40.91","94.9",".7","1.49","-1.05","1563.8599",".82","12.2","998.8","-999","-999","-999","-999","-999","-999","50",".1565","-999","1041.359","37.30251","FAIL","2","C","1626L4B17","FAIL_TUNING","24-JUN-15","80km DWDM"
"875620","152409541","PKGF10GB5","38.37","94.9",".75","1.42","-1.1","1563.863","1.102","10.5","998.9","-999","-999","-999","-999","-999","-999","50",".1819","-999","944.423","36.74386","FAIL","2","C","1626L4B17","FAIL_TUNING","24-JUN-15","80km DWDM"
"875622","152409543","PKGF10GB6","41.29","94.9",".7","1.41","-.85","1563.8613","1.042","12.3","998.8","-999","-999","-999","-999","-999","-999","49",".1565","-999","1257.676","31.55489","FAIL","1","C","1626L4B17","FAIL_TUNING","24-JUN-15","80km DWDM"
"875624","152409545","PKGF10GB6","36.46","94.9",".7","1.41","-.9","1563.8617",".947","12.4","998.8","-999","-999","-999","-999","-999","-999","50",".1564","-999","1194.628","32.8888","FAIL","2","C","1626L4B17","FAIL_TUNING","24-JUN-15","80km DWDM"
"875625","152409546","PKGF10GB5","38.34","66",".66","1.32","-.9","1563.858","3.182","10.6","998.9","-999","-999","-999","-999","-999","-999","50",".1743","-999","269.474","30.15592","FAIL","1","C","1626L4B17","FAIL_TUNING","24-JUN-15","80km DWDM"
"875630","152409551","PKGF10GB5","40.95","94.9",".61","1.53","-1.2","1563.859","1.49","10.6","2.83","20","51.37","19.4","25.7",".7","2.24","50",".1702","5.13848","906.777","41.42709","PASS","2","C","1626L4B17","PASS","24-JUN-15","80km DWDM"
"875631","152409552","PKGF10GB6","39.53","83.35",".53","1.48","-1.25","1563.86","1.553","10.8","3.32","17","51.07","19.4","23.2","1.78","2.13","50",".1422","5.4345","449.96","40.60291","FAIL","1","C","1626L4B17","FAIL_DISP_PENALTY","24-JUN-15","80km DWDM"
"CK-875633","152409554","PKGF10GB5","38.83","90",".44","1.45","-.9","1563.86","1.583","10.5","2.95","20","53.75","20.1","24.7",".97","2.38","49",".1557","5.59396","1190.074","33.11155","PASS","1","C","1626L4B17","PASS","24-JUN-15","80km DWDM"
"875634","152409555","PKGF10GB6","40.54","95",".67","1.51","-.95","1563.8604","2.849","11.8","3.21","20","51.06","19.1","23.6",".84","1.91","50",".154","5.21935","1191.499","34.80274","FAIL","1","C","1626L4B17","FAIL_DISP_PENALTY","24-JUN-15","80km DWDM"
"CK-875636","152409557","PKGF10GB6","42.03","95",".56","1.5","-1.01","1563.8626","1.958","11.2","2.86","20","49.4","18.6","22.7","1.49","1.89","50",".1446","4.91951","1279.812","36.80997","PASS","1","C","1626L4B17","PASS","24-JUN-15","80km DWDM"
